data_idx,correction,original_annotation,reason
59,SELECT fname FROM Student WHERE StuID IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'),select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',two students have the same name
7,"SELECT song_name ,  song_release_year FROM singer  WHERE age = (SELECT min(age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",tie breaking
32,SELECT Name FROM stadium WHERE Stadium_ID  NOT IN (SELECT Stadium_ID FROM concert WHERE YEAR  =  2014),SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,cannot handle non-unique name
270,"SELECT Manager_name , District FROM shop WHERE Number_products = ( SELECT MAX(Number_products) FROM shop)","SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",tie breaking
279,SELECT  t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID WHERE bonus  =  (SELECT max(bonus) FROM evaluation),SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,tie breaking
6,"SELECT  song_name, song_release_year FROM singer WHERE age  =  (SELECT min(age) FROM singer)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",cannot handle ties
656,SELECT Money_Rank FROM poker_player WHERE Earnings=(SELECT max(Earnings) FROM poker_player),SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,tie breaking
421,"SELECT t2.Museum_ID ,  t1.Name FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID GROUP BY t2.Museum_ID, t1.Name HAVING COUNT(*)  =  (SELECT MAX(count) FROM (SELECT COUNT(*) AS count FROM visit GROUP BY Museum_ID) AS counttable)","SELECT t2.Museum_ID ,  t1.name FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID GROUP BY t2.Museum_ID ORDER BY count(*) DESC LIMIT 1",cannot handle ties
882,"SELECT ID, (SELECT count(*) FROM Friend where student_id = T1.ID) FROM Highschooler as T1","SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",join issue
655,SELECT Money_Rank FROM poker_player where Earnings = (SELECT max(Earnings) FROM poker_player),SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,tie breaking
879,"SELECT grade FROM Highschooler GROUP BY grade HAVING count(*)  =  (SELECT max(T1.count) FROM (SELECT grade ,  count(*) AS count FROM Highschooler GROUP BY grade) AS T1)",SELECT grade FROM Highschooler GROUP BY grade ORDER BY count(*) DESC LIMIT 1,tie breaking
961,SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age = (SELECT min(age) FROM Dogs),SELECT T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id WHERE T2.age  =  ( SELECT max(age) FROM Dogs ),annotation error
839,SELECT Name FROM conductor WHERE YEAR_OF_WORK = (SELECT MAX(YEAR_OF_WORK) FROM conductor),SELECT Name FROM conductor ORDER BY Year_of_Work DESC LIMIT 1,tie breaking
341,"SELECT template_type_code ,  count(document_id) FROM Templates LEFT JOIN Documents USING (Template_ID) GROUP BY template_type_code","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",join issue
